ulasan,label
ga tau kok saya sudah habis 1 bungkus belum ada reaksi apa2,negatif
Cukup efektif ngelancarin serta ngurangin nyeri haid. Bisa juga buat ngebersihin sisa datang bulan sehingga tidak ada haid susulan,positif
Gak ada pengaruhnya sudah habis saya minum tapi tetep juga gak haid☹️☹️☹️,negatif
udah minum 3 hari tpi tdk ada reaksi apa2.,negatif
Udah habis masih belum menstruasi juga .. pdhl baru telat semingguan ... Di TF juga negatif,negatif
Tidak ada khasiat nya. tidak membuat haid lancar,negatif
"Udah minum 2x tp blm ada hasilnya, kalau bagus nanti tambah bintangnya",negatif
"Tidak ada efek sama sekali, jamu nya tidak ngefek",negatif
Jamu nya efektif banget buat mengatasi rasa nyeri saat menstruasi. Pengiriman cepat dan packing nya juga rapi. Mantap banget,positif
"mantap banget Jamunya😂 next time bakalan coba lagi, mantap pokoknya",positif
Sangat bagus dan melancarkan menstruasi🩸🩸🩸🩸,positif
sangat efektif untuk wanita yang sering terlambat datang bulan,positif
Beli 2 pack alhamdulillah habis 1 pack sudah mens....,positif
"Sudah minum 1 minggu tapi gada hasilnya, mungkin gacocok dengan saya🥺🥺🥺",negatif
Gak tau kok saya sudah habis satu bungkus belum ada reaksi sama sekali,negatif
Sudah habis 2 pack tapi ngga ada hasil sama skali Dan ngga ada tanda2 juga. 😌,negatif
"Gak ada efeknya, sudah habis saya minum tapi gak haid juga☹️🥺",negatif
melancarkan haid,positif
Sudah langganan.ampuh untuk ibu yang telat datang bulan karna gk teratur selalu respon baik lancar pengiramcepet banget,positif
"alhamdulillah setelah minum 1,5 bungkus nifas makan nanas tiap hari teh jahe juga haid terlambat 10 hari bisa keluar, terimakasih seller👍🏻",positif
"Haid malah lebih sakit pdhl sblm lahiran udah ga sakit, selain itu efeknya jadi muncul jerawat2 juga sblm mens.",negatif
Bisa melancar kan haid saya yg gk teratur,positif
Jamunya wangi bener jamu,positif
Ngga ngefek di aku :(,negatif
"Tidak enak untuk di minum, jamunya tidak enak",negatif
Kurang manjur jamunya dan tidak ngefek 🥺🥺,negatif
"sengaja baru kasih penilaian , dan obat jamu ini bener2 manjur untuk ngebantu aku yg udah telat mens 4 harian.",positif
melancarkan datang bulan,positif
"ampuh sekali di aku😍 aku telat haid 31 hari, minum ini selama 5 hari, sehari 4 kapsul",positif
"Haid tdk lancar, flek. Baru 3x minum lgsg lancar bgt. Bgs utk yg dtg bulannya ngga tratur/kluar flek2 aja. Jamunya bener2 mantap",positif
Jamu termanjur dan simple wkwk,positif
"Telat 2 minggu, tetap gak berkhasiat.",negatif
Produk bagus memperlancar haid..sangat membantu untuk yang haidnya ga lancar,positif
Alhamdulillah setiap telat haid 3 atau 4 hari langsung minum ini 1 box langsung keluar haid nya dan banyak,positif
"Jamunya Tidak ada efek sama sekali, kecewa",negatif
"Sangat manjur jamunya, berkhasiat banget deh",positif
"Aku minum ini habis satu bungkus terus bisa langsung keluar haidnya, bener bermanfaat banget jamunya",negatif
"Baru pertama nyoba langsung manjur banget, jamunya oke banget",positif
Diminum rutin 2×2 dlm 6 hari tapi blm datang bulan juga :(,negatif
bisa membantu melancarkan haid,positif
"Sudah langganan dengan jamu ini, jamunya sangat bagus untuk pelancar haid",positif
sudah abis 2 kotak tpi ko blm ada hasilnya yah?,negatif
Dari hari Rabu Sampek sekarang blm mempan jg🥺🥺🥺🥺,negatif
Sengaja baru nilai sekarang karena buat nyoba rutin minum 2hari (4kali sehari) udah mens ajaib bangetttt😭😭😭,positif
"khasiatnya Allhamdulillah.. 10 hari telat, minum sekali langsung dapet..",positif
"Aku udh minum baru dua hari jd belum ada efek nya,",negatif
"Haid pas minum ketiga kalinya,tapi gitu darahnya keluar setelah minum obatnya,kalau ndak minum ndak keluar darahnya.",positif
"Telat datang bulan 12 hari, setelah minum langsung haid... Dikasih bonus bedak dingin juga..",positif
Aku minum 1 kapsuL udh Lumayan ada prubhan udh tanda² perut aku nyerii kayak mau datng bulan .,positif
cocok untuk aku yang haid nya gaa teratur..,positif
Sangat cocok dan cepet mensnya oh ya makasih buat admin aku dikasih bonus masker bedak dinginnya.,positif
"Alhamdulillah sih,, selalu pake ini buat pelancar haid dan cocok..",positif
Thankss alhamdulillahnya ngebantu banget buat aku yg kemaren ga haid selama 2 bulan akhirnya keluar juga🥺 dan masih nyisa buat 3x minum in case kalo haid aku ga lancar lagi hihi,positif
"Alhamdulillah jamunya cocok di aku, habis 1 bungkus haid ku langsung dateng yg tadinya telat 2 bulan lebih 👍",positif
Aku pake ini lancar selancar”nya period aku. Bener bener oke,positif
"Tidak ada reaksi apapun ,saya kira ampuh sudah minum selama 3 hari tidak ada efek nya",negatif
maaf ga ada efek sama sekali,negatif
"Udah habis 2 kotak tapi ngk ada reaksi apa""😥😥",negatif
"Gada perubahan tetep aja, ga ada efek apapun.",negatif
Gak ada hasiat pilnya udah habis.blm haid jg,negatif
Hampir habis haid gak keluar yg lancar malah bab,negatif
Belum ngefek apa2 nii udh abis 1 kotak ...,negatif
Sudah habis 1 tapi gak ada reaksi apapun..,negatif
Saya baru nyoba satu kali tapi emang bener langsung manjur,positif
Belum haid juga baru 3 hari minum ini,negatif
udh 3 hari blum ada hasilnya,negatif
Produk habis ga haid haid juga,negatif
Sudah minum tapi belom ada efeknya,negatif
Cocok untuk yang telat datang bulan,positif
"Serius jamunya rekomended banget, cocok untuk saya yang sering telat datang bulan",positif
Gk ada reaksi sama sekali,negatif
"Alhamdulillah udh 5 bulan tdk haid skrg bisa haid dan lancar,,",positif
"packingnya rapi dan aman, pengiriman juga cepet banget. di aku manjur banget, udah dua kali beli. baru minum 2 hari besoknya langsung haid, thank you seller",positif
"Pengiriman cepat, dan Alhamdulillah banget pagi paket Dateng malemnya langsung diminum jeda 1jam langsung Dateng bulan",positif
Maaf baru kasih nilai Krn pingin tau hasilny dl dan alhamdulillah 3 hari minum jamunya ada hasilny langsung datang bulan ...terimakasih,positif
"Alhamdulillah,obatnya recommended banget ,baru minum 2x udah dapet haid setelah hampir 2bln blm dapet",positif
Udah 2 merek pelancar haid ga ada yg ngefek..,negatif
Kualitas produk sangat baik produk original harga produk baik,positif
"Setelah minum ini menstruasi jadi lancar , pengiriman juga cepat",positif
minum hari pertama langsung ada efeknya,positif
Tokcer abis. Minum 3x haid langsung lancar.,positif
mantap..brngnya real ampuh banget Baru minum langsung reaksi..mksh ya,positif
"Pemesanan yg ke 2x, kemaren ud habis 2 pack masih blm ada khasiatnya",negatif
Mantap dach. Alhamdulillah minum baru satu kotak udah tokcer nie...hehehehe,positif
"Sudah telat 3 minggu an coba minum ini selama 3 hari langsung haid,dibarengi makan nanans lngsung haid deras bangetttt",positif
Setelah minum jamu ini haidku lancar . makasih,positif
Khasiat bener2 ampuh buat ngontrol hormon haid,positif
"Lancar banget haid saya setelah minum jamu ini, mantap",positif
"Ampuh banget,, baru 2 hari konsumsi langsung keluar darahnya😅",positif
"Khasiatnya bener oke, tidak di ragukan lagi jamunya",positif
"sdh habis 1 kotak tapi blm ada perubahan😞 mungkin tidak cocok ke saya nya,,",negatif
Udah 20 kapsul aku minum belom haid juga dari awal minum badan tiba-tiba lemes bgt dipaksain sampe 20 kapsul badan ku makin lemes huhu sisa 4 kapsul gaberani minum lagi Belom haid juga,negatif
Kurang manjur jamu nya. Sudah habis 24 kapsul belom haid juga. Padahal haid saya tidak teratur dan telat haid masih seminggu masih juga belom haid,negatif
"Maaf bintang 3 dulu soalnya sudah di minum belum juga kunjung haid,,fotonya tak sama kayak pesanan 🙏",negatif
"Saya meminum nya 12 pil sehari...4 pil x3...lebih dr anjuran, Tp ga ada epek sama sekali..ga bekerja obat nya",negatif
"Usah abis sebungkus. Belum haidnya juga yah , barang cepet sampe sih san sesuai",negatif
"maaf, tapi buat saya nggak ngefek apa apa",negatif
Gg ad efek apapun sdh minum teratur tetap aja tidak haid,negatif
belum ada kemajuan pdhl udh mau habis 2 kotak,negatif
"Langganan beli ini buat ngatasin haid yg selalu telat, minum sebelum tanggal haid dtg beneran bisa bkn haid cpt keluar",positif
"jamu nya tidak manjur, tidak ada reaksi",negatif
baru minum 2hari blm ngefek sih di aku .,negatif
Udah 2 hari minum tapi belum kerasa apa-apa.,negatif
ada kasiatnya setelah minum 3 bungkus,positif
"Manjur banget jamunya,,dapat gratis bedak bengkoang juga",positif
"Sengaja kasih ulasan lambat, setelah minum 3 kali, sesuai anjuran pemakaian,, Alhamdulilah yang namanya tamu langsung datang",positif
"Baru pertama kali tapi manjur banget, saya suka jamunya",positif
Sengaja baru kasi penilaian karena nunggu efeknya dulu. Alhamdulillah efeknya di aku si manjur setelah minum 1 bungkus,positif
Gak mempan bos🤔🤔,negatif
"jamunya tidak mempan, tidak ngefek",negatif
Tidak berkhasiat Tidak manjur,negatif
Sesudah pake ini Haid Bsa Lancar & darah Haid nya Banyak Yg keluar...,positif
bikin dada sesak,negatif
