ulasan_st,label
"['habis', 'bungkus', 'reaksi']",negatif
"['efektif', 'ngelancarin', 'ngurangin', 'nyeri', 'haid', 'ngebersihin', 'sisa', 'haid', 'susul']",positif
"['pengaruh', 'habis', 'minum', 'tetep', 'haid']",negatif
"['udah', 'minum', 'tpi', 'reaksi']",negatif
"['udah', 'habis', 'menstruasi', 'pdhl', 'telat', 'minggu']",negatif
"['khasiat', 'haid', 'lancar']",negatif
"['udah', 'minum', 'x', 'tp', 'blm', 'hasil', 'bagus', 'bintang']",negatif
"['efek', 'jamu', 'ngefek']",negatif
"['jamu', 'efektif', 'banget', 'atas', 'nyeri', 'menstruasi', 'kirim', 'cepat', 'packing', 'rapi', 'mantap', 'banget']",positif
"['mantap', 'banget', 'jamu', 'next', 'time', 'coba', 'mantap', 'pokok']",positif
"['bagus', 'lancar', 'menstruasi']",positif
"['efektif', 'wanita', 'lambat']",positif
"['beli', 'pack', 'alhamdulillah', 'habis', 'pack', 'mens']",positif
"['minum', 'minggu', 'gada', 'hasil', 'gacocok']",negatif
"['habis', 'bungkus', 'reaksi']",negatif
"['habis', 'pack', 'ngga', 'hasil', 'skali', 'ngga', 'tanda']",negatif
"['efek', 'habis', 'minum', 'haid']",negatif
"['lancar', 'haid', 'bagus', 'banget', 'jamu']",positif
"['langgananampuh', 'telat', 'karna', 'gk', 'atur', 'respon', 'lancar', 'pengiramcepet', 'banget']",positif
"['alhamdulillah', 'minum', 'bungkus', 'nifas', 'makan', 'nanas', 'teh', 'jahe', 'haid', 'lambat', 'terimakasih', 'seller']",positif
"['haid', 'sakit', 'pdhl', 'sblm', 'lahir', 'udah', 'sakit', 'efek', 'muncul', 'jerawat', 'sblm', 'mens']",negatif
"['lancar', 'haid', 'gk', 'atur']",positif
"['jamu', 'wangi', 'bener', 'jamu']",positif
"['ngga', 'ngefek']",negatif
"['enak', 'minum', 'jamu', 'enak']",negatif
"['manjur', 'jamu', 'ngefek']",negatif
"['sengaja', 'kasih', 'nilai', 'obat', 'jamu', 'bener', 'manjur', 'ngebantu', 'udah', 'telat', 'mens', 'hari']",positif
['lancar'],positif
"['ampuh', 'telat', 'haid', 'minum', 'hari', 'kapsul']",positif
"['haid', 'lancar', 'flek', 'x', 'minum', 'lgsg', 'lancar', 'bgt', 'bgs', 'dtg', 'bulan', 'ngga', 'traturkluar', 'flek', 'jamu', 'bener', 'mantap']",positif
"['jamu', 'manjur', 'simple', 'wkwk']",positif
"['telat', 'minggu', 'khasiat']",negatif
"['produk', 'bagus', 'lancar', 'haidsangat', 'bantu', 'haid', 'lancar']",positif
"['alhamdulillah', 'telat', 'haid', 'langsung', 'minum', 'box', 'langsung', 'haid']",positif
"['jamu', 'efek', 'kecewa']",negatif
"['manjur', 'jamu', 'khasiat', 'banget', 'deh']",positif
"['minum', 'habis', 'bungkus', 'langsung', 'haid', 'bener', 'manfaat', 'banget', 'jamu']",negatif
"['nyoba', 'langsung', 'manjur', 'banget', 'jamu', 'oke', 'banget']",positif
"['bantu', 'lancar', 'haid']",positif
"['langgan', 'jamu', 'jamu', 'bagus', 'pelancar', 'haid']",positif
"['abis', 'kotak', 'tpi', 'ko', 'blm', 'hasil']",negatif
"['rabu', 'sampek', 'blm', 'mempan', 'jg']",negatif
"['sengaja', 'nilai', 'nyoba', 'rutin', 'minum', 'kali', 'hari', 'udah', 'mens', 'ajaib', 'bangetttt']",positif
"['khasiat', 'allhamdulillah', 'telat', 'minum', 'langsung', 'dapet']",positif
"['udh', 'minum', 'efek']",negatif
"['haid', 'pas', 'minum', 'tiga', 'kalinyatapi', 'gitu', 'darah', 'minum', 'obatnyakalau', 'ndak', 'minum', 'ndak', 'darah']",positif
"['telat', 'minum', 'langsung', 'haid', 'kasih', 'bonus', 'bedak', 'dingin']",positif
"['minum', 'kapsul', 'udh', 'lumayan', 'prubhan', 'udh', 'tanda', 'perut', 'nyeri', 'kayak', 'datng']",positif
"['cocok', 'haid', 'gaa', 'atur']",positif
"['cocok', 'cepet', 'mens', 'oh', 'makasih', 'admin', 'kasih', 'bonus', 'masker', 'bedak', 'dingin']",positif
"['alhamdulillah', 'pake', 'pelancar', 'haid', 'cocok']",positif
"['thankss', 'alhamdulillah', 'ngebantu', 'banget', 'kemaren', 'haid', 'nyisa', 'x', 'minum', 'in', 'case', 'haid', 'lancar', 'hihi']",positif
"['alhamdulillah', 'jamu', 'cocok', 'habis', 'bungkus', 'haid', 'ku', 'langsung', 'dateng', 'telat']",positif
"['pake', 'lancar', 'selancar', 'period', 'bener', 'bener', 'oke']",positif
"['reaksi', 'apa', 'ampuh', 'minum', 'efek']",negatif
"['udah', 'habis', 'kotak', 'ngk', 'reaksi']",negatif
"['gada', 'ubah', 'tetep', 'efek', 'apa']",negatif
"['hasiat', 'pil', 'udah', 'habisblm', 'haid', 'jg']",negatif
"['habis', 'haid', 'lancar', 'bab']",negatif
"['ngefek', 'nii', 'udh', 'abis', 'kotak']",negatif
